checkpoint,accuracy,f1,inference_ms_per_sentence,train_n,test_n
roberta-base,0.8194001276324187,0.49733570159857904,0.20453355999961786,6655,1567
bert-base-uncased,0.8136566687938737,0.44061302681992337,0.2464960799989058,6655,1567
distilbert-base-uncased,0.8155711550733886,0.41851106639839036,0.10386589999598073,6655,1567
